2016-05-06 13:46:34,000 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2016-05-06 13:46:34,004 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2016-05-06 13:46:34,022 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2016-05-06 13:46:34,092 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2016-05-06 13:46:34,121 | INFO  | PListStore:[E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2016-05-06 13:46:34,123 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2016-05-06 13:46:34,126 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2016-05-06 13:46:34,128 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2016-05-06 13:46:34,589 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-61931-1462455322638-0:1) uptime 16 hours 11 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2016-05-06 13:46:34,592 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-61931-1462455322638-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2016-05-06 13:46:34,595 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@493cd5ba: startup date [Thu May 05 21:35:20 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2016-05-06 13:46:34,656 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2016-05-06 13:46:34,778 | WARN  | 6 threads could not be stopped | org.eclipse.jetty.util.thread.QueuedThreadPool | ActiveMQ ShutdownHook
